text_en,text_ru
M,M
X1,X1
A,A
(BY OTHERS),(ДРУГИМИ)
700,700
G,G
APPD BY,УТВЕРДЕНО
DATE,ДАТА
C,C
1,1
150,150
6,6
0,0
900,900
200,200
2025-08-26,2025-08-26
Daru,Дару
HIP,HIP
STEEL BAR FOR FIXING JAMBS,СТАЛЬНЫЙ БАР ДЛЯ КРЕПЛЕНИЯ СТВОРК
ø9×6EA (BY OTHERS),ø9×6EA (ДРУГИМИ)
R1,R1
R2,R2
9,9
X2,X2
3,3
1350,1350
2,2
4,4
5,5
RESD BY,УТВЕРДЕНО
REVISE NO,НОМЕР ИЗМЕНЕНИЯ
REVISION,ИЗМЕНЕНИЕ
7,7
8,8
B,B
D,D
E,E
F,F
H,H
I,I
J,J
K,K
L,L
N,N
O,O
P,P
CHKD BY,ПРОВЕРЕНО
DSND BY,СОГЛАСОВАНО
DWG. NO,НОМЕР ЧЕРТЕЖА
KZ,KZ
LOCATION,МЕСТОПОЛОЖЕНИЕ
MM,MM
N.S,N.S
"PROJ.
NAME",НАЗВАНИЕ ПРОЕКТА
REV. NO,НОМЕР ИЗМЕНЕНИЯ
SCALE,МАСШТАБ
SIGNED,ПОДПИСАНО
TITLE,НАЗВАНИЕ
"The dimensions in the layout drawings are not drawn in a 1:1 ratio, and the use of a scale bar for measurement is prohibited.","Размеры на чертежах не выполнены в масштабе 1:1, и использование масштабной линейки для измерений запрещено."
UNIT,ЕДИНИЦА
王琪,王琪
400,400
MAIN FLOOR ONLY,ТОЛЬКО ГЛАВНЫЙ ЭТАЖ
25,25
(           ),(           )
(           )   FL,(           )   Э
160,160
∅50,∅50
300,300
1500,1500
250,250
CONCRETE OPENING   2550,БЕТОННОЕ ОТКРЫТИЕ   2550
JP050,JP050
ENTRANCE HEIGHT   2400,ВЫСОТА ВХОДА   2400
WORKING AREA FOR MOVING PARTS,РАБОЧАЯ ЗОНА ДЛЯ ДВИЖУЩИХСЯ ЧАСТЕЙ
*ONLY BOTTOM FLOOR,*ТОЛЬКО НИЖНИЙ ЭТАЖ
100,100
1000,1000
1050,1050
240,240
75,75
C / P,C / P
HOISTING HOOK PROJECTION,ВЫСТУП КРАНОВОГО КРЮКА
PIT RESET BOX,КОРПУС СБРОСА ЯМЫ
WALL FINISHED,СТЕНА ЗАВЕРШЕНА
FIREMAN'S SWITCH,ВЫКЛЮЧАТЕЛЬ ПОЖАРНИКА
FILLING BY CONCRETE AFTER TM INSTALLED,ЗАПОЛНЕНИЕ БЕТОНОМ ПОСЛЕ УСТАНОВКИ TM
MACHINE BEAMS,МАШИННЫЕ БАЛКИ
MC. SUPPORT PLATE,ПОДДОН MC.
(BY HDEL),(ПО HDEL)
2025-09-28,2025-09-28
LAMP,ЛАМПА
320,320
"DETAIL ""A""","ДЕТАЛЬ ""A"""
1080*170*10T,1080*170*10T
286,286
875,875
X1-X1,X1-X1
1800,1800
33,33
48,48
600,600
R3,R3
R4,R4
500,500
939,939
R1 CAR BUFFER,БУФЕР АВТОМОБИЛЯ R1
R2 CWT BUFFER,БУФЕР CWT R2
R3 CAR RAIL A,РЕЛЬС А АВТОМОБИЛЯ R3
R4 CAR RAIL B,РЕЛЬС B АВТОМОБИЛЯ R4
R5 CWT RAIL C,РЕЛЬС C CWT R5
R6 CWT RAIL D,РЕЛЬС D CWT R6
沈  解,沈  解
10,10
22,22
27,27
640,640
"CLEAR OPENING
 800","ЧИСТОЕ ОТКРЫТИЕ
 800"
"CONCRETE OPENING 
 1000","ОТКРЫТИЕ БЕТОНА 
 1000"
Ø320,Ø320
325,325
BG   1200,BG   1200
"FIRE SERVICE ACCESS LEVEL
BUILT-IN MICROPHONE","УРОВЕНЬ ДОСТУПА СЛУЖБЫ ПОЖАРНОЙ БЕЗОПАСНОСТИ
ВСТРОЕННЫЙ МИКРОФОН"
FIRE SWITCH,ПОЖАРНЫЙ ВЫКЛЮЧАТЕЛЬ
FIREFIGHTER INTERCO,ИНТЕРКОМ ДЛЯ ПОЖАРНЫХ
HOISTWAY WIDTH   1800,ШИРИНА ШАХТЫ   1800
HYUNDAI,HYUNDAI
LADDER,ЛЕСТНИЦА
MIC,MIC
"WORKING AREA 
IN FRONT OF 
CONTROL  PANEL","РАБОЧАЯ ЗОНА 
ПЕРЕД 
ПАНЕЛЬЮ УПРАВЛЕНИЯ"
170,170
180,180
30,30
825,825
889,889
2200,2200
2700,2700
80,80
BY OTHERS,ДРУГИЕ
CAR BUFFER,БУФЕР КАБИНЫ
"CLEAR OPENING
 1100","ЧИСТОЕ ОТКРЫТИЕ
 1100"
"CONCRETE OPENING 
 1300","БЕТОННОЕ ОТКРЫТИЕ 
 1300"
CWT-BUFFER,CWT-БУФЕР
FL / ST,FL / ST
FLOOR HEIGHT,ВЫСОТА ЭТАЖА
FLOOR NAME,НАЗВАНИЕ ЭТАЖА
HOISTWAY SECTION,СЕКЦИЯ ШАХТЫ
INSPECTION LADDER,ЛЕСТНИЦА ДЛЯ ОСМОТРА
INSPECTION PLUG,ЗАГЛУШКА ДЛЯ ОСМОТРА
"NOTE: IF THE HOISTWAY IS NOT CONCRETE STRUCTURE, PLEASE SET THE RING BEAM OR STEEL BEAM ACCORDDING TO THE SPAN OF RAIL BRACKET(BY OTHERS)。","ПРИМЕЧАНИЕ: ЕСЛИ ШАХТА НЕ ЯВЛЯЕТСЯ БЕТОННОЙ КОНСТРУКЦИЕЙ, ПОЖАЛУЙСТА, УСТАНОВИТЕ КОЛЬЦЕВУЮ БАЛКУ ИЛИ СТАЛЬНУЮ БАЛКУ В СООТВЕТСТВИИ С ПРОТЯЖЕННОСТЬЮ КРЕПЛЕНИЯ РЕЛЬСА (ДРУГИЕ)."
OH ( (       )   FL),OH ( (       )   FL)
"PIT RESERVOIR OR IN LINE WITH 
BUILDING DRAINAGE MEASURES
BY OTHERS","РЕЗЕРВУАР ДЛЯ ЯМЫ ИЛИ В ЛИНИИ С 
МЕРЫ ДЛЯ ДРЕНАЖА ЗДАНИЯ
ДРУГИЕ"
SEALING BY CONCRETE AFTER TM INSTALLED,ГЕРМЕТИЗАЦИЯ БЕТОНОМ ПОСЛЕ УСТАНОВКИ TM
Ø400,Ø400
ø25 STEEL BAR,ø25 СТАЛЬНАЯ ПАЛКА
124,124
275,275
HOISTWAY DEPTH   2100,ГЛУБИНА ШАХТЫ   2100
HOISTWAY WIDTH   2700,ШИРИНА ШАХТЫ   2700
(BY HYUNDAI ELEVATOR),(ОТ HYUNDAI ELEVATOR)
(BY HYUNDAI),(ОТ HYUNDAI)
